iter	RMSE
0	1.779137418e+10
1	1.687134389e+10
2	1.601728864e+10
3	1.519735096e+10
4	1.443306425e+10
5	1.370583878e+10
6	1.301598789e+10
7	1.237084832e+10
8	1.17589127e+10
9	1.118695046e+10
10	1.064529007e+10
11	1.011172557e+10
12	9609080954
13	9170334140
14	8716509099
15	8292905155
16	7912473576
17	7553044699
18	7182177299
19	6852744583
20	6561532033
21	6268121665
22	6005566742
23	5748639018
24	5496068141
25	5265268805
26	5040599776
27	4839754262
28	4645361174
29	4458917710
30	4286725281
31	4132630363
32	3994227392
33	3850343711
34	3726144858
35	3602928831
36	3487157941
37	3381797549
38	3277209624
39	3181180800
40	3101947932
41	3031679728
42	2958766189
43	2886086558
44	2831397657
45	2770086771
46	2707358013
47	2651522077
48	2592805055
49	2545262424
50	2498856568
51	2457430757
52	2423181667
53	2385629918
54	2351677005
55	2318043211
56	2284089691
57	2261306414
58	2237531105
59	2208759762
60	2184101510
61	2166020252
62	2143786694
63	2123785031
64	2104482310
65	2088113102
66	2069646282
67	2056668548
68	2042796597
69	2028097401
70	2015218250
71	2002738868
72	1988672892
73	1979118235
74	1968079202
75	1958682487
76	1944891733
77	1935005058
78	1926355118
79	1917619799
80	1905909465
81	1894414361
82	1883533475
83	1873323055
84	1861465094
85	1853417173
86	1850355902
87	1840684763
88	1835424782
89	1822678317
90	1815005321
91	1808018098
92	1802197978
93	1793809592
94	1786662259
95	1780196850
96	1773990158
97	1763925213
98	1759363999
99	1754359022
100	1745265129
101	1738466082
102	1733655485
103	1728017616
104	1718661579
105	1711473271
106	1705449470
107	1699993024
108	1695456574
109	1687787989
110	1682835960
111	1676159824
112	1671487949
113	1665634831
114	1661853775
115	1658148844
116	1651723764
117	1645712903
118	1643555904
119	1638433948
120	1633321860
121	1628313641
122	1625254355
123	1622245414
124	1617014512
125	1611908201
126	1607157194
127	1602645340
128	1599359140
129	1593834308
130	1589965331
131	1583941893
132	1580008639
133	1574973135
134	1572450250
135	1568414478
136	1563991994
137	1561109134
138	1555431779
139	1551925047
140	1547811122
141	1542669203
142	1539637908
143	1535947301
144	1531687895
145	1527676095
146	1523405205
147	1519588949
148	1512631313
149	1509176411
150	1506055677
151	1503407098
152	1500518775
153	1496828559
154	1490047631
155	1487380171
156	1484733648
157	1482084231
158	1479937055
159	1477386298
160	1475239243
161	1467992593
162	1465117324
163	1461208599
164	1458610168
165	1453971105
166	1451239952
167	1448331922
168	1445075893
169	1443003145
170	1440255926
171	1438641711
172	1436494551
173	1432012662
174	1429861427
175	1426698578
176	1423780916
177	1416548171
178	1409778477
179	1401283116
180	1398876884
181	1397211418
182	1392614850
183	1390599317
184	1384755309
185	1379877829
186	1377082662
187	1371538361
188	1369222896
189	1367316997
190	1362320568
191	1360478142
192	1358624050
193	1356839162
194	1353446706
195	1351793472
196	1348288956
197	1346829270
198	1343066259
199	1338199676
200	1332623484
201	1330286830
202	1328872991
203	1327854498
204	1325724237
205	1323714176
206	1322445888
207	1318755902
208	1318057163
209	1313660604
210	1312728612
211	1309140666
212	1305720791
213	1303835546
214	1301516588
215	1296151511
216	1292061535
217	1291174897
218	1287600357
219	1284382583
220	1282531386
221	1281655913
222	1280463877
223	1278524640
224	1272894841
225	1269727815
226	1267669051
227	1266541830
228	1265412943
229	1259646677
230	1256246035
231	1250750813
232	1250261546
233	1249623140
234	1248594539
235	1245605645
236	1243602977
237	1242923714
238	1241372722
239	1237582048
240	1234634390
241	1232437097
242	1231810381
243	1229946394
244	1228933790
245	1228424248
246	1227038236
247	1225859712
248	1221712445
249	1219214490
250	1217886418
251	1213424233
252	1212360903
253	1209025079
254	1204528208
255	1202259237
256	1199992616
257	1197762090
258	1193729447
259	1192750883
260	1189727002
261	1188886235
262	1188366369
263	1187571734
264	1186280665
265	1183846903
266	1180031394
267	1176495008
268	1173896824
269	1171506718
270	1169913749
271	1167116778
272	1163655966
273	1160986935
274	1160158925
275	1159278990
276	1158031273
277	1157097110
278	1156363852
279	1154763302
280	1151882146
281	1150491125
282	1148598809
283	1147146408
284	1144661209
285	1143290233
286	1142788516
287	1141009794
288	1140405996
289	1137755316
290	1134631797
291	1133508384
292	1131103711
293	1129747900
294	1127696345
295	1126920707
296	1124864107
297	1121892913
298	1120307085
299	1119525289
300	1118654538
301	1115970883
302	1113794226
303	1111297876
304	1109208160
305	1107877230
306	1106168803
307	1104868325
308	1101963456
309	1099143004
310	1098273714
311	1095271471
312	1094757591
313	1093540861
314	1091982885
315	1089826336
316	1087528581
317	1085411308
318	1083659926
319	1081061899
320	1080553657
321	1079450209
322	1077225312
323	1075803195
324	1074791760
325	1073754322
326	1073203353
327	1071952314
328	1069703646
329	1067366113
330	1065857315
331	1063216183
332	1062715354
333	1061426910
334	1061194656
335	1059304736
336	1056533717
337	1056096041
338	1054725813
339	1052047520
340	1049819906
341	1048013574
342	1046412663
343	1044327410
344	1042060870
345	1039910479
346	1039412608
347	1037794777
348	1036426539
349	1035015942
350	1032569798
351	1031065499
352	1029372816
353	1028043079
354	1027481762
355	1026778106
356	1026074801
357	1025317463
358	1025026729
359	1022816195
360	1021511115
361	1021219810
362	1020161604
363	1017992829
364	1017684480
365	1017118538
366	1015968666
367	1014240360
368	1012695463
369	1010296456
370	1008330158
371	1006612073
372	1004231547
373	1002191820
374	1001796315
375	999358672.8
376	998958895.2
377	997076194.3
378	996030347.2
379	995366188.6
380	994228854.8
381	992918492.8
382	990852216
383	989079803
384	988748579.3
385	987268371.2
386	986036484.3
387	984284267.8
388	984104429.9
389	983167685.5
390	981555886
391	979844495.8
392	979152274.7
393	977816000.4
394	975849806.7
395	974560266.2
396	973048370.8
397	971646040.4
398	970694960.7
399	969094020.2
400	967828530.3
401	966317572.1
402	965055394.6
403	963296667.1
404	961669063.9
405	960727246.1
406	959371393.6
407	957773880.1
408	957206061.9
409	955796093.1
410	955258255
411	953951419.5
412	952304595.7
413	951839447
414	949898603.8
415	948943771.9
416	947786310.2
417	947452637.6
418	945975368
419	944800949.3
420	943795546
421	943175347.1
422	941452626.7
423	939937742.5
424	939494109.3
425	938023486.1
426	937045400.6
427	935608892.5
428	935136764.4
429	934631694.2
430	933719315.1
431	932394537.7
432	930734355.4
433	930338038.7
434	928992800.5
435	928335622
436	926661325.8
437	925337845.9
438	923546470.9
439	922049124.5
440	920716965
441	920383235.1
442	919555521
443	919137184.8
444	918108395.8
445	916970817.7
446	915618254.4
447	914544236.1
448	913167876.4
449	912018517.7
450	910964177.7
451	910170861.5
452	908860251.8
453	907977439.2
454	907745363.8
455	906719390.2
456	905116036.7
457	903674289.8
458	902378184.9
459	902174621.3
460	901203209.7
461	899616934.1
462	898428645.1
463	897003551.6
464	896217451.1
465	895367071.7
466	894059530.3
467	893839713
468	892318122.4
469	891955967.6
470	890780435.1
471	889698673.1
472	888495042
473	887617216.5
474	885997974
475	884699930.8
476	884163530.5
477	883035980.6
478	882184528.1
479	881674097
480	881235769.5
481	880257980.8
482	879863277.4
483	879675791
484	879085167
485	878385317.4
486	877289574.1
487	876201271.9
488	875060964.9
489	874286927.3
490	873153653
491	871506274.4
492	871043918.4
493	869704961.4
494	869004240.2
495	867519367.6
496	866343979.6
497	865817593.2
498	864423858.4
499	862977744.4
500	862458738.1
501	861210992.3
502	860786930.6
503	859418882.5
504	857941281.1
505	857128199.5
506	855825486.4
507	855598922.3
508	854638235.5
509	853664692.4
510	852567431.2
511	852046840.3
512	850909878.9
513	850117175.7
514	848735761.1
515	848525886.8
516	847566937
517	847402466.2
518	846428199.2
519	845494623
520	844540854.4
521	844313721.4
522	844245341.1
523	843206304.5
524	842586702.2
525	841358496.9
526	841031776.5
527	840160642.7
528	839017547.1
529	838149758.3
530	837960146.3
531	836841339.8
532	835767674.6
533	834722698.9
534	833868846.5
535	832799441.6
536	832469250.9
537	831621643
538	830656647.9
539	829861618.5
540	829268684.8
541	828927690
542	828460525.7
543	827605758.3
544	826890023.9
545	825903515.8
546	824970747.5
547	823681347.9
548	822934416.9
549	822540907.8
550	822117254.8
551	821959827.9
552	821148308.5
553	820081560.5
554	818945556.7
555	818245066.9
556	816955642.8
557	816406760.4
558	815780185.7
559	815145276
560	814356488.9
561	813755538.7
562	813550605.2
563	812711591.5
564	811027357.7
565	809948802.2
566	809225407.4
567	808131715
568	807234031.7
569	806257154
570	805296609.6
571	804521648.4
572	803599658.9
573	802493639
574	801526255.1
575	800934727.5
576	799628574.6
577	798875996.8
578	797881919.8
579	797608468
580	796266209.2
581	795325629
582	794300840.3
583	794192362.3
584	793486233
585	792583592.6
586	792173677.2
587	791774541.6
588	791643885.3
589	790896713.5
590	790217962.1
591	789019704.7
592	788108520.7
593	787168339
594	786070123.8
595	785851066.8
596	784851889.9
597	783360842.8
598	782556970
599	781813883.7
600	781420133.1
601	780385333.3
602	779844864.5
603	778964987.6
604	778530408.3
605	778257486
606	777635612.4
607	776757198.3
608	776243945
609	776049746.5
610	774645024.7
611	774116585.5
612	772718838.8
613	771849016.2
614	770488083.1
615	769441270.4
616	769250054.4
617	769134773.9
618	768244491.5
619	767364349.3
620	766922656.4
621	766551156.9
622	766058750
623	765831375.4
624	765092766.5
625	764096793.9
626	763891790.8
627	762424005.7
628	761656665.4
629	760599505.9
630	759796990.4
631	759315338.3
632	758531941.1
633	758401197.9
634	757640082.3
635	756571428.5
636	755276407.7
637	754636150.9
638	753625788
639	753340668.2
640	752771543
641	752025808.5
642	751327436.7
643	750646192.1
644	749864029.5
645	749060209.3
646	748467720.2
647	748138355.7
648	747321250.8
649	746564895.1
650	745754109
651	744918040.1
652	744596138.2
653	744126227.3
654	743749665.7
655	742927296.2
656	742065343.4
657	741895370.4
658	741773677.3
659	741434195
660	740748242.6
661	740626813.4
662	739437287.3
663	738482593.4
664	738265311
665	738101081.1
666	737209056.4
667	736308287.5
668	735851800.1
669	735174084.2
670	734588891.5
671	734071951
672	733797191.4
673	733697014.8
674	733293009.9
675	732184735.3
676	731232166.2
677	730362354.9
678	729485331.7
679	728703079.7
680	728076416.5
681	727515954.4
682	726879124.8
683	726084552.6
684	725499603.4
685	725188362.5
686	724560409.5
687	724138311.1
688	723408435.3
689	723124992.5
690	722556115.1
691	721995816.5
692	720599439.7
693	719743185.5
694	719180138.6
695	718433057
696	717956502.9
697	717782851.3
698	716940220.5
699	716097924.7
700	715264258.5
701	714506022.8
702	714001804.2
703	713198998.8
704	712157217.5
705	711440857.7
706	710847828.3
707	710040339.1
708	708840275.9
709	708504711.4
710	708256278.4
711	707688121.5
712	707545152.6
713	706749329.6
714	706376771.5
715	705208835.9
716	704773171.6
717	704191945.1
718	703733747.9
719	702990145.8
720	702888926.5
721	701872287.1
722	701617588.1
723	700503609.3
724	699550754.4
725	698872806.3
726	698331044.7
727	697801613.9
728	697705199.2
729	697093519.1
730	695960337.7
731	695301429.4
732	694238010.6
733	693194483
734	692660146.5
735	691980268.2
736	691303888.6
737	690910986.6
738	690138518.8
739	689413633.7
740	688341962.1
741	688117640.4
742	687973855
743	687802975.5
744	687233155.6
745	686488610.9
746	686120848.8
747	685388409.6
748	684538495.2
749	683801437.6
750	683044474.3
751	682450176.7
752	681788578.5
753	680627240.6
754	679864759.6
755	679770371.8
756	679104341.2
757	678231479
758	677431386.8
759	676939324.4
760	676835207.6
761	676215198.1
762	675555185.4
763	675045250
764	674584248.4
765	674469658
766	674026955
767	673402522.4
768	673295382
769	672788145.6
770	672538191.5
771	671593718.6
772	671350760
773	670810875.5
774	670635911.3
775	669700402.9
776	669344880.7
777	668645158.3
778	668158247.4
779	667415322.8
780	666822481.5
781	666608450.1
782	666293922.3
783	665982695.6
784	665556543.7
785	665079329.3
786	664154219.7
787	663803375.1
788	663079911.5
789	662692562.3
790	662394535.5
791	662321296.5
792	661853374.2
793	661176734.8
794	660593524.8
795	659936079.1
796	659331102.9
797	658683089.5
798	658281911.6
799	657662575
800	656887464.7
801	656361675.7
802	655727857.5
803	655615213.3
804	655121693
805	654447190.4
806	653849985.2
807	653503064.3
808	652830032.8
809	652179573.9
810	651382941.9
811	651100263.5
812	650302192.4
813	650081800.5
814	649737773.5
815	649602494.8
816	649374217.3
817	649203911.4
818	648573276.1
819	647491841.3
820	647127474.2
821	646330813.3
822	646003259.1
823	645537286.2
824	644973888.2
825	644253248.1
826	644135759.8
827	643378422.3
828	642534709.2
829	641940030.2
830	641705479.2
831	641166307.7
832	640220351.7
833	639526501.7
834	638997001.6
835	638490154.6
836	637965807.7
837	637897681.2
838	637042124.1
839	636226612.7
840	635436219.6
841	635113867.6
842	634853785
843	634248469.1
844	633436944.7
845	633025745
846	632589729.2
847	631855188.6
848	631351188
849	630781690.6
850	630258048.2
851	629791542.4
852	629386949.6
853	628849015.3
854	628767494.1
855	628117961.8
856	627372563.8
857	626872920.8
858	626601263.9
859	625806291.7
860	625559580.5
861	625460343.6
862	624788793.5
863	624399542.7
864	623765342.3
865	623399129.1
866	622890189.7
867	622519408.7
868	622021747.8
869	621397811.1
870	621181599.6
871	621007572.3
872	620497957.2
873	620229416
874	619366388.6
875	618817946.6
876	618747392.7
877	618670127.3
878	618565614
879	618025047.1
880	617511819.6
881	616806039.9
882	616561155.9
883	616134132.4
884	615169720
885	614616793.4
886	614406986.5
887	613843711.8
888	613349631.7
889	612791978.9
890	612497929.7
891	612258872.4
892	611395216
893	611321597.4
894	610478525.3
895	610017906.3
896	609903454.6
897	609222950.5
898	608660545.7
899	608297929.5
900	608212377.3
901	608079836.2
902	607764823.3
903	607293095.8
904	606563353.9
905	605871792.6
906	605622820.5
907	605493158.3
908	605397016.8
909	604785026.3
910	604033748.5
911	603147142.2
912	602754577.1
913	602685815.9
914	601953514.7
915	601234018.9
916	600811896.3
917	600357882.7
918	600039510.9
919	599613243.5
920	599451983.3
921	599307498.7
922	598988639.2
923	598191056.2
924	598007820.2
925	597925325.3
926	597700396.6
927	597247314.8
928	596891394
929	596832938.2
930	596483679.3
931	595925217.3
932	595792924.8
933	595738415.9
934	595203647.6
935	595017935.5
936	594335904.7
937	594157760.3
938	593624981.3
939	593556029.6
940	593346282
941	592475965.2
942	592073256.8
943	591333445.4
944	590771650.4
945	590206486.2
946	589850644.7
947	589300583.1
948	589135296
949	588995056.3
950	588346617.5
951	587788407.8
952	586954127.8
953	586858240
954	586167598.7
955	586069343.2
956	585361358.3
957	584935214.4
958	584870142.4
959	584823986.5
960	584650613.5
961	584242911.4
962	584027989.1
963	583175008.3
964	582803954.3
965	582348230.3
966	581529564.9
967	581337181.9
968	581243346.5
969	581022037.8
970	580955432.9
971	580486595.2
972	580005325.4
973	579783528.9
974	579604913
975	578977176.4
976	578297289.5
977	577642058.5
978	576905401.5
979	576555555.8
980	575841517.8
981	575599102.2
982	575485718.7
983	575335085.9
984	574785240.7
985	574168164.9
986	574122934.5
987	573881805.3
988	573106665
989	572411728.8
990	572047482.5
