iter	Passed	Remaining
0	12	12636
1	18	9365
2	28	9629
3	39	9918
4	46	9263
5	53	8911
6	59	8451
7	67	8351
8	73	8106
9	79	7881
10	87	7854
11	94	7764
12	100	7668
13	106	7528
14	112	7408
15	127	7859
16	137	7973
17	145	7925
18	159	8240
19	168	8256
20	176	8210
21	182	8109
22	188	8001
23	194	7899
24	200	7810
25	222	8348
26	231	8340
27	237	8242
28	243	8143
29	250	8103
30	260	8127
31	266	8065
32	272	7989
33	278	7920
34	283	7819
35	290	7765
36	295	7678
37	299	7593
38	305	7519
39	311	7483
40	322	7547
41	329	7507
42	334	7449
43	339	7385
44	344	7315
45	349	7253
46	354	7194
47	359	7132
48	364	7075
49	369	7018
50	374	6969
51	379	6920
52	384	6867
53	389	6819
54	394	6774
55	399	6731
56	404	6688
57	409	6644
58	415	6619
59	420	6588
60	426	6559
61	432	6538
62	437	6505
63	442	6468
64	447	6430
65	452	6401
66	457	6367
67	462	6333
68	467	6309
69	472	6275
70	477	6244
71	482	6216
72	487	6189
73	492	6160
74	497	6131
75	502	6107
76	508	6099
77	513	6072
78	520	6070
79	526	6057
80	532	6036
81	537	6012
82	542	5990
83	547	5970
84	552	5948
85	557	5926
86	562	5902
87	567	5884
88	572	5864
89	577	5843
90	583	5824
91	587	5801
92	592	5780
93	597	5763
94	602	5743
95	608	5731
96	619	5766
97	625	5761
98	631	5747
99	636	5727
100	641	5707
101	646	5690
102	651	5671
103	656	5653
104	661	5636
105	666	5621
106	671	5603
107	676	5585
108	681	5567
109	685	5549
110	690	5531
111	695	5515
112	701	5507
113	706	5490
114	711	5475
115	718	5478
116	724	5469
117	730	5457
118	735	5441
119	740	5428
120	745	5412
121	750	5397
122	754	5382
123	760	5370
124	765	5356
125	770	5341
126	774	5326
127	779	5312
128	784	5298
129	789	5283
130	794	5269
131	800	5264
132	805	5250
133	810	5239
134	816	5234
135	822	5227
136	828	5221
137	833	5207
138	838	5194
139	843	5182
140	848	5169
141	853	5156
142	858	5143
143	863	5132
144	868	5119
145	873	5106
146	878	5095
147	882	5082
148	888	5072
149	893	5063
150	898	5052
151	904	5043
152	908	5031
153	915	5026
154	924	5040
155	929	5028
156	934	5017
157	939	5005
158	944	4995
159	949	4983
160	954	4972
161	958	4960
162	964	4950
163	994	5068
164	1008	5105
165	1016	5109
166	1024	5112
167	1032	5114
168	1041	5123
169	1054	5150
170	1071	5192
171	1078	5190
172	1089	5207
173	1097	5211
174	1105	5211
175	1114	5216
176	1124	5227
177	1132	5230
178	1141	5236
179	1158	5277
180	1167	5284
181	1177	5293
182	1185	5291
183	1193	5293
184	1205	5312
185	1244	5445
186	1268	5514
187	1285	5551
188	1301	5585
189	1315	5609
190	1333	5648
191	1348	5675
192	1372	5738
193	1385	5756
194	1397	5767
195	1410	5784
196	1418	5780
197	1425	5772
198	1436	5780
199	1444	5779
200	1463	5815
201	1474	5826
202	1487	5841
203	1493	5829
204	1501	5823
205	1507	5811
206	1516	5807
207	1523	5799
208	1529	5789
209	1539	5792
210	1545	5779
211	1551	5768
212	1558	5756
213	1578	5798
214	1586	5791
215	1593	5783
216	1600	5773
217	1607	5766
218	1613	5754
219	1619	5741
220	1626	5731
221	1636	5734
222	1643	5725
223	1649	5713
224	1657	5708
225	1665	5704
226	1672	5696
227	1678	5684
228	1685	5673
229	1691	5662
230	1697	5650
231	1704	5642
232	1710	5631
233	1716	5619
234	1723	5611
235	1733	5612
236	1739	5600
237	1750	5603
238	1761	5609
239	1770	5605
240	1775	5592
241	1781	5579
242	1786	5564
243	1791	5549
244	1796	5536
245	1801	5522
246	1806	5508
247	1811	5494
248	1816	5479
249	1821	5464
250	1826	5450
251	1832	5437
252	1836	5422
253	1842	5410
254	1847	5398
255	1854	5390
256	1860	5378
257	1865	5364
258	1871	5353
259	1877	5343
260	1883	5332
261	1889	5322
262	1895	5312
263	1901	5301
264	1907	5289
265	1912	5278
266	1918	5267
267	1926	5260
268	1932	5251
269	1938	5241
270	1951	5248
271	1960	5247
272	2032	5413
273	2047	5424
274	2061	5434
275	2071	5434
276	2088	5450
277	2105	5468
278	2119	5476
279	2124	5463
280	2130	5451
281	2137	5442
282	2144	5432
283	2149	5420
284	2155	5408
285	2161	5396
286	2167	5384
287	2173	5373
288	2179	5362
289	2187	5356
290	2195	5348
291	2200	5336
292	2206	5324
293	2216	5322
294	2223	5313
295	2231	5308
296	2241	5305
297	2246	5291
298	2255	5287
299	2260	5275
300	2265	5262
301	2271	5249
302	2276	5236
303	2281	5222
304	2286	5210
305	2292	5199
306	2298	5187
307	2303	5175
308	2308	5162
309	2313	5148
310	2318	5135
311	2323	5122
312	2327	5109
313	2332	5096
314	2337	5083
315	2342	5070
316	2347	5058
317	2352	5045
318	2357	5032
319	2362	5019
320	2367	5007
321	2371	4994
322	2377	4982
323	2382	4970
324	2391	4966
325	2397	4956
326	2403	4945
327	2407	4933
328	2413	4922
329	2418	4910
330	2423	4898
331	2428	4885
332	2433	4873
333	2438	4862
334	2445	4854
335	2450	4843
336	2455	4831
337	2460	4819
338	2465	4807
339	2470	4795
340	2475	4783
341	2480	4773
342	2487	4764
343	2493	4754
344	2499	4745
345	2504	4733
346	2509	4722
347	2521	4723
348	2529	4719
349	2543	4723
350	2556	4727
351	2567	4725
352	2575	4720
353	2587	4721
354	2606	4735
355	2620	4740
356	2632	4741
357	2663	4777
358	2669	4766
359	2676	4758
360	2682	4748
361	2688	4738
362	2698	4734
363	2706	4728
364	2713	4720
365	2720	4712
366	2726	4702
367	2735	4697
368	2744	4692
369	2751	4685
370	2757	4675
371	2765	4668
372	2770	4656
373	2775	4644
374	2782	4637
375	2788	4627
376	2793	4616
377	2799	4606
378	2804	4595
379	2810	4585
380	2821	4583
381	2828	4575
382	2835	4568
383	2841	4557
384	2850	4553
385	2855	4542
386	2865	4539
387	2871	4529
388	2882	4526
389	2887	4516
390	2899	4515
391	2911	4516
392	2924	4517
393	2933	4511
394	2940	4503
395	2948	4497
396	2955	4488
397	2964	4484
398	2971	4475
399	2978	4468
400	2984	4458
401	2991	4450
402	2996	4439
403	3001	4428
404	3077	4520
405	3086	4515
406	3096	4511
407	3101	4500
408	3106	4489
409	3111	4478
410	3117	4468
411	3123	4457
412	3129	4447
413	3134	4436
414	3139	4425
415	3144	4414
416	3149	4402
417	3153	4391
418	3159	4380
419	3163	4369
420	3168	4357
421	3175	4349
422	3180	4338
423	3186	4328
424	3192	4319
425	3198	4310
426	3204	4299
427	3209	4288
428	3213	4277
429	3218	4266
430	3224	4256
431	3230	4248
432	3240	4243
433	3245	4232
434	3250	4222
435	3255	4211
436	3260	4200
437	3265	4189
438	3270	4178
439	3275	4168
440	3280	4157
441	3285	4147
442	3290	4136
443	3295	4126
444	3300	4116
445	3305	4105
446	3310	4094
447	3314	4084
448	3319	4073
449	3325	4064
450	3331	4055
451	3338	4047
452	3343	4037
453	3348	4026
454	3353	4016
455	3358	4006
456	3363	3996
457	3368	3986
458	3373	3976
459	3378	3966
460	3383	3956
461	3388	3946
462	3393	3936
463	3398	3926
464	3403	3916
465	3408	3906
466	3413	3895
467	3418	3886
468	3424	3877
469	3433	3871
470	3439	3863
471	3444	3853
472	3449	3843
473	3454	3833
474	3460	3824
475	3465	3814
476	3470	3804
477	3475	3794
478	3479	3785
479	3484	3775
480	3489	3765
481	3494	3755
482	3499	3746
483	3504	3736
484	3509	3726
485	3514	3717
486	3519	3707
487	3530	3703
488	3535	3695
489	3540	3685
490	3545	3675
491	3550	3666
492	3555	3656
493	3560	3646
494	3565	3637
495	3569	3627
496	3574	3617
497	3579	3608
498	3584	3598
499	3589	3589
500	3594	3579
501	3599	3570
502	3604	3561
503	3608	3551
504	3613	3542
505	3625	3539
506	3631	3531
507	3636	3522
508	3641	3512
509	3646	3503
510	3651	3494
511	3656	3485
512	3661	3476
513	3666	3466
514	3671	3457
515	3676	3448
516	3681	3439
517	3686	3430
518	3691	3420
519	3695	3411
520	3700	3402
521	3706	3393
522	3710	3384
523	3716	3375
524	3723	3368
525	3729	3360
526	3733	3351
527	3738	3342
528	3744	3334
529	3749	3325
530	3754	3316
531	3759	3307
532	3764	3298
533	3769	3289
534	3774	3280
535	3779	3271
536	3784	3262
537	3789	3253
538	3794	3244
539	3798	3236
540	3804	3227
541	3809	3218
542	3814	3210
543	3823	3204
544	3829	3196
545	3833	3187
546	3838	3179
547	3843	3170
548	3848	3161
549	3853	3152
550	3862	3147
551	3871	3142
552	3883	3139
553	3896	3137
554	3908	3133
555	3922	3132
556	3936	3130
557	3951	3130
558	3964	3127
559	3977	3124
560	3996	3127
561	4009	3125
562	4032	3129
563	4120	3185
564	4188	3224
565	4204	3223
